uid,rep,tool,dataset,time
128524,1,stringcharter,easy,27
128524,1,timetable,easy,31
128524,2,stringcharter,easy,29
128524,2,timetable,easy,30
128524,3,stringcharter,easy,69
128524,3,timetable,easy,43
128524,1,stringcharter,hard,32
128524,1,timetable,hard,35
128524,2,stringcharter,hard,35
128524,2,timetable,hard,34
128524,3,stringcharter,hard,38
128524,3,timetable,hard,32
129485,1,stringcharter,easy,41
129485,1,timetable,easy,38
129485,2,stringcharter,easy,34
129485,2,timetable,easy,36
129485,3,stringcharter,easy,46
129485,3,timetable,easy,43
129485,1,stringcharter,hard,40
129485,1,timetable,hard,47
129485,2,stringcharter,hard,36
129485,2,timetable,hard,42
129485,3,stringcharter,hard,38
129485,3,timetable,hard,39
535623,1,stringcharter,easy,27
535623,1,timetable,easy,31
535623,2,stringcharter,easy,23
535623,2,timetable,easy,26
535623,3,stringcharter,easy,35
535623,3,timetable,easy,34
535623,1,stringcharter,hard,35
535623,1,timetable,hard,38
535623,2,stringcharter,hard,36
535623,2,timetable,hard,34
535623,3,stringcharter,hard,39
535623,3,timetable,hard,36
912837,1,stringcharter,easy,21
912837,1,timetable,easy,23
912837,2,stringcharter,easy,26
912837,2,timetable,easy,25
912837,3,stringcharter,easy,28
912837,3,timetable,easy,24
912837,1,stringcharter,hard,29
912837,1,timetable,hard,22
912837,2,stringcharter,hard,26
912837,2,timetable,hard,29
912837,3,stringcharter,hard,27
912837,3,timetable,hard,35
237916,1,stringcharter,easy,43
237916,1,timetable,easy,46
237916,2,stringcharter,easy,40
237916,2,timetable,easy,42
237916,3,stringcharter,easy,39
237916,3,timetable,easy,38
237916,1,stringcharter,hard,51
237916,1,timetable,hard,52
237916,2,stringcharter,hard,48
237916,2,timetable,hard,49
237916,3,stringcharter,hard,53
237916,3,timetable,hard,53
493715,1,stringcharter,easy,49
493715,1,timetable,easy,52
493715,2,stringcharter,easy,40
493715,2,timetable,easy,46
493715,3,stringcharter,easy,53
493715,3,timetable,easy,50
493715,1,stringcharter,hard,60
493715,1,timetable,hard,66
493715,2,stringcharter,hard,51
493715,2,timetable,hard,53
493715,3,stringcharter,hard,54
493715,3,timetable,hard,52
831682,1,stringcharter,easy,29
831682,1,timetable,easy,30
831682,2,stringcharter,easy,31
831682,2,timetable,easy,30
831682,3,stringcharter,easy,34
831682,3,timetable,easy,33
831682,1,stringcharter,hard,39
831682,1,timetable,hard,36
831682,2,stringcharter,hard,34
831682,2,timetable,hard,35
831682,3,stringcharter,hard,31
831682,3,timetable,hard,32
348414,1,stringcharter,easy,33
348414,1,timetable,easy,34
348414,2,stringcharter,easy,36
348414,2,timetable,easy,35
348414,3,stringcharter,easy,31
348414,3,timetable,easy,42
348414,1,stringcharter,hard,31
348414,1,timetable,hard,36
348414,2,stringcharter,hard,43
348414,2,timetable,hard,35
348414,3,stringcharter,hard,32
348414,3,timetable,hard,33
