uid,rep,tool,dataset,time
128524,1,stringcharter,easy,27
128524,1,timetable,easy,31
128524,2,stringcharter,easy,29
128524,2,timetable,easy,30
128524,3,stringcharter,easy,69
128524,3,timetable,easy,43
128524,1,stringcharter,hard,32
128524,1,timetable,hard,35
128524,2,stringcharter,hard,35
128524,2,timetable,hard,34
128524,3,stringcharter,hard,38
128524,3,timetable,hard,32
129485,1,stringcharter,easy,41
129485,1,timetable,easy,38
129485,2,stringcharter,easy,34
129485,2,timetable,easy,36
129485,3,stringcharter,easy,46
129485,3,timetable,easy,43
129485,1,stringcharter,hard,40
129485,1,timetable,hard,47
129485,2,stringcharter,hard,36
129485,2,timetable,hard,42
129485,3,stringcharter,hard,38
129485,3,timetable,hard,39
535623,1,stringcharter,easy,27
535623,1,timetable,easy,31
535623,2,stringcharter,easy,23
535623,2,timetable,easy,26
535623,3,stringcharter,easy,35
535623,3,timetable,easy,34
535623,1,stringcharter,hard,35
535623,1,timetable,hard,38
535623,2,stringcharter,hard,36
535623,2,timetable,hard,34
535623,3,stringcharter,hard,39
535623,3,timetable,hard,36
912837,1,stringcharter,easy,21
912837,1,timetable,easy,23
912837,2,stringcharter,easy,26
912837,2,timetable,easy,25
912837,3,stringcharter,easy,28
912837,3,timetable,easy,24
912837,1,stringcharter,hard,29
912837,1,timetable,hard,22
912837,2,stringcharter,hard,26
912837,2,timetable,hard,29
912837,3,stringcharter,hard,27
912837,3,timetable,hard,35
